scenario_id,threat_type,severity,detection_time,escalation_path,outcome,user_id,trigger_events,risk_score,false_positive,mitigation_action,response_time,data_compromised,financial_impact
SCEN_001,data_exfiltration,high,15-01-2024 10:45,immediate_escalation,blocked,U001,email_send+usb_access+cloud_upload,0.95,FALSE,account_suspension,5_minutes,financial_data,50000
SCEN_002,privilege_abuse,medium,15-01-2024 09:30,monitoring,monitored,U002,hr_database_access,0.35,FALSE,access_review,30_minutes,hr_data,0
SCEN_003,code_theft,high,15-01-2024 11:45,immediate_escalation,blocked,U003,git_push_external,0.85,FALSE,repository_lock,10_minutes,source_code,100000
SCEN_004,data_theft,high,15-01-2024 13:20,immediate_escalation,blocked,U004,database_export+email_attachment,0.9,FALSE,account_suspension,15_minutes,customer_data,200000
SCEN_005,payroll_fraud,medium,15-01-2024 10:00,monitoring,investigated,U005,payroll_access+usb_copy,0.75,FALSE,access_restriction,45_minutes,payroll_data,15000
SCEN_006,normal_activity,low,15-01-2024 09:15,no_action,allowed,U006,marketing_access+cloud_sync,0.25,TRUE,no_action,0_minutes,none,0
SCEN_007,research_misconduct,low,15-01-2024 10:30,monitoring,investigated,U007,research_data_access,0.4,FALSE,access_review,60_minutes,research_data,0
SCEN_008,network_sabotage,high,15-01-2024 15:30,immediate_escalation,blocked,U008,firewall_modification,0.95,FALSE,account_suspension,2_minutes,network_config,50000
SCEN_009,legal_breach,medium,15-01-2024 13:45,monitoring,investigated,U009,legal_document_email,0.7,FALSE,access_review,30_minutes,legal_data,25000
SCEN_010,competitive_intelligence,medium,15-01-2024 12:30,monitoring,investigated,U010,competitor_access+screenshot,0.6,FALSE,access_review,90_minutes,product_data,10000
SCEN_011,malware_infection,high,15-01-2024 16:00,immediate_escalation,contained,UNKNOWN,malware_communication,0.95,FALSE,network_isolation,1_minute,system_integrity,75000
SCEN_012,ransomware_attack,high,15-01-2024 16:30,immediate_escalation,contained,UNKNOWN,ransomware_communication,0.95,FALSE,system_shutdown,2_minutes,encrypted_data,150000
SCEN_013,brute_force_attack,high,15-01-2024 17:00,immediate_escalation,blocked,ATTACKER,multiple_login_attempts,0.9,FALSE,ip_blocking,1_minute,none,0
SCEN_014,remote_access_attempt,medium,15-01-2024 17:30,monitoring,monitored,UNKNOWN,rdp_connection_attempt,0.65,FALSE,connection_monitoring,5_minutes,none,0
SCEN_015,exploit_attempt,high,15-01-2024 18:00,immediate_escalation,blocked,ATTACKER,eternal_blue_exploit,0.95,FALSE,network_isolation,1_minute,system_vulnerability,0
SCEN_016,data_hoarding,medium,15-01-2024 14:30,monitoring,investigated,U001,multiple_file_access,0.55,FALSE,access_review,120_minutes,financial_data,0
SCEN_017,unauthorized_access,low,15-01-2024 09:00,no_action,allowed,U008,network_config_access,0.45,TRUE,no_action,0_minutes,none,0
SCEN_018,policy_violation,medium,15-01-2024 11:20,monitoring,investigated,U001,usb_device_use,0.7,FALSE,device_policy_review,60_minutes,financial_data,0
SCEN_019,insider_collaboration,high,15-01-2024 15:45,immediate_escalation,investigated,U004+U009,coordinated_data_access,0.8,FALSE,access_suspension,30_minutes,customer_legal_data,50000
SCEN_020,credential_theft,medium,15-01-2024 12:00,monitoring,investigated,U007,script_execution,0.5,FALSE,credential_reset,90_minutes,research_data,0
SCEN_021,data_aggregation,low,15-01-2024 10:00,no_action,allowed,U002,hr_data_access,0.3,TRUE,no_action,0_minutes,none,0
SCEN_022,cloud_misuse,medium,15-01-2024 14:45,monitoring,investigated,U006,unauthorized_cloud_sync,0.45,FALSE,cloud_policy_review,60_minutes,marketing_data,0
SCEN_023,print_abuse,medium,15-01-2024 09:15,monitoring,investigated,U001,confidential_print,0.55,FALSE,print_policy_review,45_minutes,financial_data,0
SCEN_024,web_upload_attempt,high,15-01-2024 10:45,immediate_escalation,blocked,U001,web_upload_attempt,0.85,FALSE,web_filtering,5_minutes,financial_data,0
SCEN_025,email_exfiltration,high,15-01-2024 15:45,immediate_escalation,blocked,U004,email_attachment,0.9,FALSE,email_filtering,10_minutes,customer_data,0
SCEN_026,device_compromise,high,15-01-2024 16:20,immediate_escalation,blocked,U005,usb_device_use,0.8,FALSE,device_quarantine,5_minutes,payroll_data,0
SCEN_027,network_reconnaissance,medium,15-01-2024 12:30,monitoring,investigated,U010,competitor_website_access,0.6,FALSE,web_monitoring,30_minutes,product_data,0
SCEN_028,data_classification_violation,medium,15-01-2024 13:45,monitoring,investigated,U009,confidential_email,0.7,FALSE,classification_review,45_minutes,legal_data,0
SCEN_029,access_pattern_change,low,15-01-2024 08:30,monitoring,investigated,U001,unusual_login_time,0.4,FALSE,behavior_analysis,120_minutes,none,0
SCEN_030,privilege_escalation,high,15-01-2024 11:15,immediate_escalation,investigated,U008,admin_access_attempt,0.85,FALSE,privilege_review,15_minutes,network_config,0
